Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
104127,,Gansevoort,Saratoga,NY,12831,Residential,National Grid,Purchase,11/11/2017,01/02/2018,Complete,"Apex Solar Power, LLC",SolarEdge Technologies Ltd.,SE7600A-US (240V),1,Trina Solar,TSM-280DD05A.05(II),20,19410,1960,5.6,5153,POINT (-73.693309 43.188019)
43057,4864-87083,Howard Beach,Queens,NY,11414,Residential,Consolidated Edison,Lease,01/14/2016,05/03/2017,Complete,SunPower Capital LLC,SMA America,SB3000TL-US-22 (240V),1,SunPower,SPR-E20-327,10,14715,1962,3.27,4269,POINT (-73.843702 40.660032)
275567,,Yonkers,,NY,10704,Residential,Consolidated Edison,Lease,11/11/2020,,Pipeline,,SunPower,SPR-A410-G-AC [240V],24,Sunpower,SPR-A410-G-AC,24,81263.46,1968,9.84,9874,POINT (-73.861958 40.919901)
95271,,Queens,Queens,NY,11413,Residential,Consolidated Edison,Lease,08/05/2017,06/11/2018,Complete,SunPower Capital LLC,SunPower,SPR-X21-335-BLK-C-AC,15,SunPower,SPR-X21-335-BLK-C-AC,15,21708,2010,5.03,5637,POINT (-73.750319 40.672267)
72367,,Flushing,Queens,NY,11361,Residential,Consolidated Edison,Lease,11/04/2016,04/17/2017,Complete,SunRun Inc.,ABB,PVI-3.6-OUTD-S-US-A (240V),1,LG Electronics,LG310N1C-G4,13,19326,2015,4.03,4414,POINT (-73.7738 40.76347)
114680,,Brooklyn,New York,NY,11208,Residential,Consolidated Edison,Lease,03/08/2018,07/30/2018,Complete,SunRun Inc.,Enphase Energy Inc.,IQ6PLUS-72-x-US (240V),17,Hanwha Q CELLS,Q.PEAK BLK-G4.1 300,17,19823.7,2040,5.1,6061,POINT (-73.872692 40.673742)
2014-660962-Sola,,Centereach,Suffolk,NY,11720,Residential,Long Island Power Authority,Lease,06/30/2014,03/23/2015,Complete,VIVINT SOLAR,Enphase En,,16,Trina Sola,,16,21420,2070.33,4.08,4789,POINT (-73.081448 40.871411)
2014-636942-Sola,,Hicksville,Nassau,NY,11801,Residential,Long Island Power Authority,Purchase,01/07/2014,06/11/2014,Complete,GREENLOGIC LLC,SMA America,,1,SunPower,,12,19632,2078.51,3.92,4606,POINT (-73.523021 40.762643)
115759,,Newburgh,Orange,NY,12550,Residential,Central Hudson Gas and Electric,Lease,03/27/2018,08/14/2018,Complete,SunPower Capital LLC,SunPower,SPR-X22-360-C-AC [240V],17,SunPower,SPR-X22-360-C-AC,17,22338,2142,6.12,6665,POINT (-74.046775 41.529205)
2011-157819-SLPR,,Manhasset,Nassau,NY,11030,Residential,Long Island Power Authority,Purchase,01/18/2008,01/18/2008,Complete,,,,0,,,0,6000,2160,0.58,681,POINT (-73.686254 40.793129)
2013-583919-Sola,,Garden City,Nassau,NY,11530,Residential,Long Island Power Authority,Lease,10/28/2013,06/26/2014,Complete,SOLARCITY CORPORATION,Power-One,,1,Yingli Ene,,18,22050,2175.52,4.41,5177,POINT (-73.638954 40.727145)
35862,4611-67610,little falls,Herkimer,NY,13365,Residential,National Grid,Purchase,06/22/2015,09/17/2015,Complete,"CNY Solar, Inc.",SMA America,SB4000TL-US-22 (208V),1,Conergy,Conergy PE 260P,14,14087,2184,3.64,3678,POINT (-74.847449 43.060591)
2011-158858-SLPR,,Ronkonkoma,Suffolk,NY,11779,Residential,Long Island Power Authority,Purchase,07/24/2009,07/24/2009,Complete,,,,0,,,0,5000,2184,0.62,728,POINT (-73.116858 40.815879)
88786,,Cohoes,Albany,NY,12047,Residential,National Grid,Purchase,05/13/2017,07/03/2017,Complete,Tesla Energy Operations Inc.,ABB,PVI-4.2-OUTD-S-US-Z-A (240V),1,SolarCity,SC325,17,22522.5,2210,5.53,6922,POINT (-73.719474 42.778683)
2014-638505-Sola,,East Islip,Suffolk,NY,11730,Residential,Long Island Power Authority,Lease,01/21/2014,06/05/2014,Complete,SOLARCITY CORPORATION,SolarEdge,,1,Yingli Ene,,17,21250,2226.06,4.25,4989,POINT (-73.177675 40.729397)
2014-664217-Sola,,Lake Ronkonkoma,Suffolk,NY,11779,Residential,Long Island Power Authority,Lease,07/30/2014,11/25/2014,Complete,"VISIGOTH SOLAR 1, LLC",SolarEdge,,1,Canadian S,,18,25200,2259.41,4.5,5282,POINT (-73.116858 40.815879)
167458,,Brooklyn,Kings,NY,11204,Residential,Consolidated Edison,Purchase,03/09/2019,,Pipeline,,SunPower,SPR-X22-360-C-AC [208V],21,Sunpower,SPR-X22-360-C-AC,21,46732.74,2268,7.56,9114,POINT (-73.985272 40.618877)
2013-631093-Sola,,Hampton Bays,Suffolk,NY,11946,Residential,Long Island Power Authority,Purchase,12/11/2013,07/28/2014,Complete,BUILT WELL SOLAR,PV Powered,,1,Renesola A,,18,16000,2308.35,4.5,5282,POINT (-72.522404 40.87769)
249284,,Rensselaer,Rensselaer,NY,12144,Residential,National Grid,Purchase,06/09/2020,07/14/2020,Complete,Kasselman Solar LLC,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,LG Electronics Inc.,LG350N1C-V5,19,25138,2328,0,7711,POINT (-73.718904 42.635553)
54288,5023-64048,Akron,Erie,NY,14001,Residential,National Grid,Lease,05/06/2015,11/06/2015,Complete,NRG Residential Solar Solutions,Enphase Energy,M215-60-2LL-S2X-IG,17,Canadian Solar,CS6X-255P,17,12705,2342,4.24,4350,POINT (-78.513012 43.022975)
206009,,Rome,Oneida,NY,13440,Residential,National Grid,Purchase,09/26/2019,12/31/2019,Complete,"Apex Solar Power, LLC",SolarEdge Technologies Ltd.,SE6000H-US [240V],2,Trina Solar,TSM-305DD05H.08(II),36,33900.75,2383,10.98,7826,POINT (-75.454665 43.214717)
48367,4944-102380,Jamaica,Queens,NY,11436,Residential,Consolidated Edison,Lease,08/16/2016,10/28/2016,Complete,SunRun Inc.,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,Canadian Solar,CS6P-265P,18,18795,2385,4.77,6147,POINT (-73.796836 40.675692)
69685,,Schenectady,Schenectady,NY,12306,Residential,National Grid,Lease,04/14/2017,06/29/2017,Complete,Tesla Energy Operations Inc.,ABB,PVI-5000-OUTD-US-Z-A (240V),1,REC Solar,REC260PE Z-LINK,23,25474.8,2392,5.98,6679,POINT (-74.002183 42.798298)
278555,,Smithtown,Suffolk,NY,11787,Residential,Long Island Power Authority,Purchase,12/04/2020,,Pipeline,,,,0,,,0,,2400,0,0,POINT (-73.208486 40.851681)
46233,4944-97983,Jamaica,Queens,NY,11434,Residential,Consolidated Edison,Lease,05/09/2016,11/01/2016,Complete,SunRun Inc.,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),21,Canadian Solar,CS6P-265P,21,19294,2437,5.57,5850,POINT (-73.775656 40.676003)
2013-538351-Sola,,Baldwin,Nassau,NY,11510,Residential,Long Island Power Authority,Lease,08/02/2013,06/27/2014,Complete,SOLARCITY CORPORATION,Power-One,,1,Yingli Ene,,12,14700,2465.55,2.94,3451,POINT (-73.609748 40.654614)
65331,5397-100930,Waterford,Saratoga,NY,12188,Residential,National Grid,Lease,07/12/2016,12/13/2016,Complete,Posigen New York LLC,Enphase Energy,M215-60-2LL-S2X-IG,24,Silfab,SLA260P,24,27900,2496,6.24,7621,POINT (-73.699726 42.815297)
108218,,Brooklyn,Kings,NY,11225,Residential,Consolidated Edison,Purchase,12/19/2017,03/01/2018,Complete,Group Solar USA,Enphase Energy Inc.,M215-60-SIE-S2x-ZC-NA (240V),22,Jinko Solar,JKM285M-60B-J4,22,39990,2508,6.27,7028,POINT (-73.953905 40.663779)
102877,,Staten Island,Richmond,NY,10308,Residential,Consolidated Edison,Lease,10/28/2017,01/08/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE10000A-US (208V),1,LG Electronics,LG330N1C-A5,30,31123,2534,9.9,8526,POINT (-74.150769 40.551772)
2013-625334-Sola,,Huntington,Suffolk,NY,11743,Residential,Long Island Power Authority,Lease,11/26/2013,05/18/2014,Complete,VIVINT SOLAR,Enphase En,,22,Trina Sola,,22,32232,2552.08,5.39,6327,POINT (-73.415539 40.871218)
170891,,Delanson,Schoharie,NY,12053,Residential,National Grid,Purchase,01/18/2019,02/15/2019,Complete,"PlugPV, LLC",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Hanwha Q Cells,Q.PEAK DUO BLK-G5 310,24,19939,2604,7.44,9619,POINT (-74.184758 42.74776)
223240,,South Wales,Erie,NY,14139,Residential,NYS Electric and Gas,Purchase,12/10/2019,,Pipeline,,Altenergy Power System Inc.,YC600 [240V],24,Silfab Solar Inc.,SLA310M [Wht],24,24180,2604,7.44,7622,POINT (-78.537925 42.717903)
245999,,Albany,Albany,NY,12208,Residential,National Grid,Purchase,05/13/2020,10/19/2020,Complete,Seed Renewables LLC,Enphase Energy Inc.,IQ7-60-x-US-& [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,22,22814,2618,7.48,9770,POINT (-73.803265 42.655144)
73030,,Mamaroneck,Westchester,NY,10543,Residential,Consolidated Edison,Purchase,11/02/2016,02/24/2017,Complete,"Malcarne Contracting, Inc.",SolarEdge Technologies,SE 7600A-US (240V),1,LG Electronics,LG320N1C-G4,24,31364,2650,7.68,6964,POINT (-73.734488 40.952304)
2014-648846-Sola,,North Babylon,Suffolk,NY,11703,Residential,Long Island Power Authority,Purchase,04/28/2014,11/10/2014,Complete,SUNPOWER REBATE PROGRAM,Fronius US,,1,SunPower,,15,26586,2661.17,4.91,5758,POINT (-73.323802 40.733915)
2014-661001-Sola,,Medford,Suffolk,NY,11763,Residential,Long Island Power Authority,Lease,06/30/2014,03/19/2015,Complete,VIVINT SOLAR,Enphase En,,26,Trina Sola,,26,34807,2668.84,6.63,7783,POINT (-72.982416 40.822436)
2013-538174-Sola,,Babylon,Suffolk,NY,11702,Residential,Long Island Power Authority,Lease,07/31/2013,05/23/2014,Complete,LEVEL SOLAR,SolarEdge,,1,Canadian S,,15,14100,2751.62,3.53,4138,POINT (-73.380416 40.653301)
114609,,Thiells,Rockland,NY,10984,Residential,Orange and Rockland Utilities,Lease,03/08/2018,05/29/2018,Complete,SunPower Capital LLC,SunPower,SPR-X22-360-C-AC (240V),22,SunPower,SPR-X22-360-C-AC,22,30096,2772,7.92,9552,POINT (-74.018017 41.206597)
2013-625301-Sola,,Great Neck,Nassau,NY,11023,Residential,Long Island Power Authority,Purchase,11/26/2013,01/22/2015,Complete,LONG ISLAND POWER SOLUTIONS,Enphase En,,21,LG Electro,,21,32740.5,2789.03,5.99,7025,POINT (-73.734476 40.798569)
73927,,Jamaica,Queens,NY,11434,Residential,Consolidated Edison,Lease,11/05/2016,02/08/2017,Complete,SunRun Inc.,ABB,PVI-4.2-OUTD-S-US-A (240V),1,LG Electronics,LG310N1C-G4,18,23781,2790,5.58,6405,POINT (-73.775656 40.676003)
276551,,Katonah,Westchester,NY,10536,Residential,NYS Electric and Gas,Purchase,12/01/2020,,Pipeline,,SunPower,SPR-E19-320-E-AC [240V],25,Sunpower,SPR-E19-320-E-AC,25,27584,2800,8,8683,POINT (-73.692846 41.270648)
277071,,Stormville,Dutchess,NY,12582,Residential,Central Hudson Gas and Electric,Purchase,12/18/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],25,Trina Solar,TSM-325DD06M.05(II),25,28850,2844,8.13,8515,POINT (-73.72931 41.547369)
2014-646638-Sola,,West Hempstead,Nassau,NY,11552,Residential,Long Island Power Authority,Lease,04/10/2014,11/14/2014,Complete,SOLARCITY CORPORATION,SolarEdge,,1,Yingli Ene,,20,25000,2861.16,5,5869,POINT (-73.653385 40.693979)
2014-648902-Sola,,Lindenhurst,Suffolk,NY,11757,Residential,Long Island Power Authority,Lease,04/28/2014,04/02/2015,Complete,VIVINT SOLAR,Enphase En,,24,Trina Sola,,24,35006,2882.78,6.12,7184,POINT (-73.374734 40.690158)
2014-645335-Sola,,Babylon,Suffolk,NY,11702,Residential,Long Island Power Authority,Lease,03/18/2014,10/08/2014,Complete,VIVINT SOLAR,Enphase En,,30,Suniva,,30,45474,2895,7.95,9332,POINT (-73.380416 40.653301)
2013-624537-Sola,,Centereach,Suffolk,NY,11720,Residential,Long Island Power Authority,Lease,11/18/2013,04/21/2014,Complete,VIVINT SOLAR,Enphase En,,28,Trina Sola,,28,41022,2917.32,6.86,8053,POINT (-73.081448 40.871411)
13480,4704-35699,Verplanck,Westchester,NY,10596,Residential,Consolidated Edison,Lease,10/01/2013,02/13/2014,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Yingli Energy (China),YL245P-29b,12,14700,2943,2.94,2741,POINT (-73.959625 41.253357)
267789,,Shirley,Suffolk,NY,11967,Residential,Long Island Power Authority,Purchase,10/22/2020,,Pipeline,,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,JA Solar,JAM72S09-390/PR,19,33000,2964,7.41,6626,POINT (-72.872417 40.794939)
2014-662788-Sola,,Lindenhurst,Suffolk,NY,11757,Residential,Long Island Power Authority,Lease,07/12/2014,02/12/2015,Complete,VIVINT SOLAR,Enphase En,,25,Trina Sola,,25,33468,2993.75,6.38,7483,POINT (-73.374734 40.690158)
2014-663241-Sola,,Commack,Suffolk,NY,11725,Residential,Long Island Power Authority,Lease,07/17/2014,08/05/2015,Complete,VIVINT SOLAR,Enphase En,,26,Trina Sola,,26,34807,3027.74,6.63,7783,POINT (-73.280971 40.839488)
92926,,Queens,Queens,NY,11355,Residential,Consolidated Edison,Lease,07/08/2017,01/26/2018,Complete,SunPower Capital LLC,SunPower,SPR-X21-335-BLK-C-AC,29,SunPower,SPR-X21-335-BLK-C-AC,29,43523.2,3070,9.72,10531,POINT (-73.821798 40.751021)
287757,,Wallkill,Ulster,NY,12589,Residential,Central Hudson Gas and Electric,Purchase,01/21/2021,,Pipeline,,SunPower,SPR-A420-G-AC [240V],21,Sunpower,SPR-A420-G-AC,21,59984,3087,8.82,9498,POINT (-74.144403 41.619869)
277372,,Rochester,Monroe,NY,14618,Residential,Rochester Gas and Electric,Purchase,11/24/2020,,Pipeline,,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab Solar Inc.,SIL-320NL,28,22626,3136,8.96,9092,POINT (-77.558148 43.116184)
119211,,Gasport,Niagara,NY,14067,Residential,National Grid,Purchase,05/01/2018,09/21/2018,Complete,CIR Electrical Construction Corp.,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab,SLA300M,30,26010,3150,9,11155,POINT (-78.567482 43.213739)
2014-661379-Sola,,Point Lookout,Nassau,NY,11569,Residential,Long Island Power Authority,Lease,07/07/2014,11/14/2014,Complete,solar house II llc,SolarEdge,,1,Canadian S,,25,31250,3182.58,6.25,7337,POINT (-73.582072 40.59035)
2014-658903-Sola,,Mineola,Nassau,NY,11501,Residential,Long Island Power Authority,Lease,06/17/2014,12/03/2014,Complete,Sungevity,Power-One,,2,Hyundai He,,25,30700.8,3196.21,6.5,7630,POINT (-73.639378 40.747079)
93818,,Ticonderoga,Essex,NY,12883,Residential,National Grid,Purchase,07/20/2017,08/11/2017,Complete,"Apex Solar Power, LLC",SolarEdge Technologies,SE7600A-US (240V),1,Trina Solar,TSM-250PA05.05,32,20000,3200,8,9525,POINT (-73.463484 43.857953)
250757,,Williamsville,Erie,NY,14221,Residential,National Grid,Purchase,07/22/2020,11/02/2020,Complete,"Solar Liberty Energy Systems, Inc.",SunPower,SPR-E20-327-E-AC [240V],28,Sunpower,SPR-E20-327-E-AC,28,30489.48,3205,9.16,9240,POINT (-78.728009 42.980424)
2014-655242-Sola,,Islip Terrace,Suffolk,NY,11752,Residential,Long Island Power Authority,Lease,05/28/2014,07/17/2015,Complete,VIVINT SOLAR,Enphase En,,31,Trina Sola,,31,45216,3254.95,7.91,9279,POINT (-73.182662 40.755051)
2014-655890-Sola,,Valley Stream,Nassau,NY,11581,Residential,Long Island Power Authority,Purchase,06/06/2014,01/20/2015,Complete,EMPOWER CES LLC,SolarEdge,,1,LG Electro,,20,28360,3262.76,6,7043,POINT (-73.712183 40.652939)
289287,,Croton On Hudson,Westchester,NY,10520,Residential,Consolidated Edison,Purchase,02/05/2021,,Pipeline,,SunPower,SPR-E20-327-E-AC [240V],50,Sunpower,SPR-E20-327-E-AC,50,58894,3270,16.35,15278,POINT (-73.882182 41.217937)
2014-639862-Sola,,Nesconset,Suffolk,NY,11767,Residential,Long Island Power Authority,Lease,01/24/2014,01/28/2015,Complete,VIVINT SOLAR,Enphase En,,26,Trina Sola,,26,37180,3289.43,6.5,7630,POINT (-73.143749 40.844418)
109687,,Buffalo,Erie,NY,14206,Residential,NYS Electric and Gas,Purchase,02/17/2018,08/16/2018,Complete,"Solcius, LLC",SolarEdge Technologies Ltd.,SE7600H-US,1,SolarWorld,SW 285 Mono Black,33,45000,3292,9.41,9556,POINT (-78.811012 42.880862)
181761,,NEW CITY,Rockland,NY,10956,Residential,Orange and Rockland Utilities,Lease,04/12/2019,07/08/2019,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],42,Trina Solar,TSM-295DD05A.05(II),42,36550.5,3296,12.39,12414,POINT (-73.995074 41.15036)
269375,,Centerport,Suffolk,NY,11721,Residential,Long Island Power Authority,Purchase,10/22/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],8,LG Electronics Inc.,LG345N1C-V5,8,25709.64,3375,2.76,1854,POINT (-73.373618 40.891844)
290170,,Valley Stream,Nassau,NY,11581,Residential,Long Island Power Authority,Purchase,02/05/2021,,Pipeline,,,,0,,,0,,3375,0,0,POINT (-73.712183 40.652939)
158241,,Walden,Orange,NY,12586,Residential,Central Hudson Gas and Electric,Lease,10/11/2018,12/26/2018,Complete,SunPower Capital LLC,SunPower,SPR-X22-360-D-AC [240V],27,Sunpower,SPR-X22-360-D-AC,27,36450,3402,9.72,10178,POINT (-74.174903 41.563126)
65861,4704-102461,Albany,Albany,NY,12203,Residential,National Grid,Lease,08/16/2016,12/08/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),2,Trina Solar,TSM-260PD05.18,33,39897,3432,8.58,9724,POINT (-73.836193 42.680815)
2014-660736-Sola,,Mastic Beach,Suffolk,NY,11951,Residential,Long Island Power Authority,Lease,06/26/2014,07/06/2015,Complete,VIVINT SOLAR,Enphase En,,33,Trina Sola,,33,44178,3493.34,8.42,9878,POINT (-72.844256 40.76555)
29849,4033-51194,Spencer,Tioga,NY,14883,Residential,NYS Electric and Gas,Purchase,10/30/2014,05/14/2015,Complete,"Renovus Energy, Inc",SMA America,SB4000TL-US-22 (240V),1,WINAICO,WSP-280M6,14,16228.8,3528,3.92,3787,POINT (-76.484279 42.244555)
2013-542605-Sola,,West Islip,Suffolk,NY,11795,Residential,Long Island Power Authority,Purchase,10/11/2013,04/29/2014,Complete,SUNPOWER REBATE PROGRAM,SolarEdge,,1,SunPower,,21,40000,3556.75,6.87,8061,POINT (-73.298729 40.711073)
76714,,Whitestone,Queens,NY,11357,Residential,Consolidated Edison,Lease,12/03/2016,02/06/2017,Complete,SunRun Inc.,ABB,PVI-3.6-OUTD-S-US-A (240V),2,LG Electronics,LG310N1C-G4,29,33144,3596,8.99,10020,POINT (-73.811044 40.785459)
2011-156225-SLPR,,Bethpage,Nassau,NY,11714,Residential,Long Island Power Authority,Purchase,12/21/2000,12/21/2000,Complete,,,,0,,,0,10433.2,3600,1.2,1409,POINT (-73.484996 40.740895)
2012-475098-Sola,,Lynbrook,Nassau,NY,11563,Residential,Long Island Power Authority,Purchase,05/07/2012,10/18/2012,Complete,EMPOWER CES LLC,Enphase En,,8,Yingli Gre,,8,10991,3640,2.08,2442,POINT (-73.673957 40.657513)
42504,4533-85875,Saranac Lake,Franklin,NY,12983,Residential,National Grid,Purchase,12/29/2015,03/01/2016,Complete,"Apex Solar Power, LLC",SolarEdge Technologies,SE 7600A-US (240V),1,Trina Solar,TSM-260PA05,28,23849.28,3640,7.28,8586,POINT (-74.210823 44.33657)
90194,,East Amherst,Erie,NY,14051,Residential,NYS Electric and Gas,Purchase,06/16/2017,10/13/2017,Complete,"Solar Liberty Energy Systems, Inc.",SolarEdge Technologies,SE7600 (240V),1,SolarWorld,,32,29184,3648,9.12,13351,POINT (-78.70261 43.031514)
187105,,Northville,New York,NY,12134,Residential,National Grid,Purchase,05/24/2019,10/18/2019,Complete,AEC Energy Corp./American Energy Care,SunPower,SPR-X22-360-E-AC [240V],29,Sunpower,SPR-X22-360-E-AC,29,38241.73,3654,10.44,10081,POINT (-74.165285 43.24718)
66495,4116-19844,Middleport,Niagara,NY,14105,Residential,National Grid,,06/01/2010,11/10/2010,Complete,"Solar Liberty Energy Systems, Inc.",PV Powered,PVP2000,1,Sharp,NU-U230F3,9,8280,3780,2.07,1177,POINT (-78.488556 43.196189)
27687,4154-45917-GJ,Sayville,Suffolk,NY,11782,Residential,Long Island Power Authority,Purchase,10/07/2014,02/05/2015,Complete,Green Logic LLC,SMA America,SB4000TL-US-22 (240V),2,SunPower,SPR-245NE-WHT-D,31,32433,3798,7.6,8273,POINT (-73.080099 40.735726)
2014-653221-Sola,,Hauppauge,Suffolk,NY,11788,Residential,Long Island Power Authority,Purchase,05/14/2014,08/05/2015,Complete,LEVEL SOLAR,SolarEdge,,1,Canadian S,,27,33750,3811.13,6.75,7923,POINT (-73.210927 40.817844)
2013-539970-Sola,,Bethpage,Nassau,NY,11714,Residential,Long Island Power Authority,Purchase,08/30/2013,05/14/2014,Complete,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Fronius US,,1,AU OPTRONI,,33,32952,3819.52,8.75,10265,POINT (-73.484996 40.740895)
2013-538768-Sola,,Wantagh,Nassau,NY,11793,Residential,Long Island Power Authority,Lease,08/08/2013,04/29/2014,Complete,"SUNRUN, INC",Power-One,,2,Trina Sola,,22,22385,3845.07,5.5,6456,POINT (-73.510289 40.683611)
2013-608155-Sola,,Kings Park,Suffolk,NY,11754,Residential,Long Island Power Authority,Purchase,11/07/2013,09/21/2014,Complete,FJC,SolarEdge,,1,Sharp,,29,17902.97,3847.03,7.25,8510,POINT (-73.24573 40.885947)
213240,,New York Mills,Oneida,NY,13417,Residential,National Grid,Purchase,09/26/2019,12/16/2019,Complete,"CNY Solar, Inc.",Altenergy Power System Inc.,YC600 [240V],18,Silfab,SLG310P,36,31918,3906,11.16,11771,POINT (-75.292939 43.101349)
71553,,Staten Island,Richmond,NY,10314,Residential,Consolidated Edison,Lease,10/21/2016,12/15/2016,Complete,SunPower Capital LLC,SunPower,SPR-E20-327-C-AC,31,SunPower,SPR-E20-327-C-AC,31,42575.41,3953,10.14,10530,POINT (-74.152798 40.604049)
17842,5023-47686,Jamaica,Queens,NY,11434,Residential,Consolidated Edison,Lease,09/12/2014,05/12/2015,Complete,NRG Residential Solar Solutions,Enphase Energy,M215-60-2LL-S2X-IG,16,Canadian Solar,CS6P-255P,16,16716,3980,3.98,4690,POINT (-73.775656 40.676003)
2013-633680-Sola,,Williston Park,Nassau,NY,11596,Residential,Long Island Power Authority,Lease,12/14/2013,09/25/2014,Complete,"SUNRUN, INC",Power-One,,3,Trina Sola,,33,26152.5,4018.35,8.25,9684,POINT (-73.64339 40.75915)
2013-625339-Sola,,Holbrook,Suffolk,NY,11741,Residential,Long Island Power Authority,Lease,11/26/2013,10/15/2014,Complete,VIVINT SOLAR,Enphase En,,36,Trina Sola,,36,51667,4056.49,9.18,10776,POINT (-73.072068 40.797268)
2014-649549-Sola,,West Islip,Suffolk,NY,11795,Residential,Long Island Power Authority,Lease,05/07/2014,12/23/2014,Complete,VIVINT SOLAR,Enphase En,,32,Trina Sola,,32,46675,4083.39,8.16,9579,POINT (-73.298729 40.711073)
68018,,Buffalo,Erie,NY,14223,Non-Residential,National Grid,Purchase,09/16/2016,01/24/2017,Complete,"Steed Energy, LLC",Enphase Energy,M215-60-2LL-S2X-IG-NA,40,SolarWorld,SW 260 Poly,40,29274,4160,10.4,11783,POINT (-78.845988 42.973445)
2011-447589-Sola,,East Northport,Suffolk,NY,11731,Residential,Long Island Power Authority,Purchase,12/13/2011,05/17/2012,Complete,SUNWIZE TECHNOLOGIES,ENPHASE,,10,Sharp,,10,11400,4200,2.4,2817,POINT (-73.317892 40.864834)
2014-666029-Sola,,Floral Park,Nassau,NY,11001,Residential,Long Island Power Authority,Lease,08/11/2014,10/08/2014,Complete,SUNPOWER CAPITAL LLC,SUNPOWER,,1,SunPower,,24,39300,4215.74,7.85,9212,POINT (-73.706441 40.722685)
30386,5023-53257,Kendall,Orleans,NY,14476,Residential,National Grid,Lease,11/24/2014,04/07/2015,Complete,NRG Residential Solar Solutions,Enphase Energy,M215-60-2LL-S2X-IG,19,Canadian Solar,CS6P-255P,19,15592.5,4253,4.73,5184,POINT (-78.041685 43.340066)
